Size,File Count,Avg. Time
200000,50.0,0.6178493946790695
500000,20.0,0.8111135605722666
833333,12.0,1.2266380116343498
1000000,10.0,1.0216377545148134
1250000,8.0,1.0788118224591017
2000000,5.0,1.3735154941678047
5000000,2.0,0.7781732566654682
